city,data.date,data.donut_effect_cumulative,donut_deseasonalised
New York,2020-07-01,-52.20776315,-48.14550732707767
New York,2020-08-01,-47.57041367,-41.92604453790201
New York,2020-09-01,-38.32576158,-38.932229867391605
New York,2020-10-01,-38.53419832,-42.82345655424287
New York,2020-11-01,-40.5316973,-40.12134885429379
New York,2020-12-01,-45.48088749,-40.97590754347241
New York,2021-01-01,-40.5444328,-45.00334313621338
New York,2021-02-01,-33.74349509,-40.598832375510796
New York,2021-03-01,-40.05079803,-41.04771528000734
New York,2021-04-01,-38.71343684,-40.3366957372626
New York,2021-05-01,-39.73747104,-38.4600816192629
New York,2021-06-01,-33.71901575,-30.78820627325162
New York,2021-07-01,-31.7213605,-27.65910467707767
New York,2021-08-01,-30.69957653,-25.055207397902013
New York,2021-09-01,-24.68977042,-25.296238707391606
New York,2021-10-01,-22.30930291,-26.598561144242865
New York,2021-11-01,-23.37636633,-22.966017884293798
New York,2021-12-01,-29.60431084,-25.099330893472413
New York,2022-01-01,-22.37022217,-26.82913250621338
New York,2022-02-01,-17.89801831,-24.75335559551079
New York,2022-03-01,-18.95395866,-19.950875910007333
New York,2022-04-01,-17.30109643,-18.924355327262607
New York,2022-05-01,-21.2842975,-20.0069080792629
New York,2022-06-01,-23.27668153,-20.345872053251625
New York,2022-07-01,-23.82317693,-19.76092110707767
New York,2022-08-01,-26.83434757,-21.18997843790201
New York,2022-09-01,-21.46641869,-22.072886977391608
New York,2022-10-01,-19.43784212,-23.727100354242864
New York,2022-11-01,-24.3404981,-23.9301496542938
New York,2022-12-01,-29.65329263,-25.148312683472412
New York,2023-01-01,-18.54644749,-23.005357826213377
New York,2023-02-01,-4.035375141,-10.89071242651079
New York,2023-03-01,-3.586651678,-4.583568928007333
New York,2023-04-01,-2.302614154,-3.925873051262605
New York,2023-05-01,-2.810034174,-1.5326447532628968
New York,2023-06-01,-6.318674165,-3.3878646882516232
New York,2023-07-01,-7.418954584,-3.3566987610776717
New York,2023-08-01,-18.11333116,-12.468962027902013
New York,2023-09-01,-15.41444031,-16.020908597391607
Sydney,2018-01-01,-1.92186022,-0.49609031903796774
