MetroShort,avg_2023,slope,t_stat,p_value,not_positive,less_five,persisters
"Altoona, PA",0.9145567743132074,7.731178728308971e-4,1.6110909128107855,0.18245040211422583,1,0,0
"Amarillo, TX",4.983165692606709,0.012277139203544053,9.68203492700577,6.3681490466084e-4,0,0,0
"Ames, IA",8.09471924497672,0.002125847028570506,1.5330742854254813,0.20003116913178412,1,0,0
"Anderson, IN",14.208208116260344,0.007413213055498634,12.376397327761577,2.4496552564553587e-4,0,0,0
"Ann Arbor, MI",1.4356985865406848,0.0030114535301775376,1.4747073939008126,0.214311047995432,1,0,0
"Asheville, NC",2.455425461927598,4.3801728592613955e-4,0.5240834691370038,0.6279185631673434,1,0,0
"Baton Rouge, LA",2.866836230731741,0.006365057465956839,21.32496449014125,2.8592882172894962e-5,0,0,0
"Beaumont, TX",4.781450230117756,0.008531590492603274,9.043385960211252,8.283784706077853e-4,0,0,0
"Bellingham, WA",3.507132868485595,0.004168903363879587,4.3663803104428265,0.012002020772814896,0,0,0
"Birmingham, AL",-0.03898600599186366,0.0020769010306890103,7.738725671509317,0.001501796177923817,0,0,0
"Boise City, ID",3.5605448803366366,0.004692215158578213,4.089327913436818,0.014983376270245026,0,0,0
"Bowling Green, KY",19.511815501619115,-0.07128431561656087,-5.351329777246157,0.005880394639119297,1,0,0
"Bridgeport, CT",1.012633151973107,-2.0693005315826647e-4,-0.3341336099958087,0.7550627466835464,1,0,0
"Cedar Rapids, IA",4.6124516984175,0.02605385461151717,37.53621876646231,3.008133097161556e-6,0,0,0
"Champaign, IL",0.12971050086287023,0.001393419146573686,1.337985596006476,0.2519004585588695,1,0,0
"Charleston, WV",1.6923885606266016,0.008274960926338615,6.4190661666769415,0.0030274155601377356,0,0,0
"Cincinnati, OH",-1.7053290388038724,0.0025130656183613522,5.124661175291119,0.006863883258823937,0,1,0
"Clarksville, TN",6.668950469446115,0.002718487646664527,3.491558097260113,0.025087366425095514,0,0,0
"Cleveland, OH",1.4527040042588517,4.996703045842335e-4,0.49907774700127727,0.6439245383081187,1,0,0
"College Station, TX",3.562509270285119,0.00797609501082054,7.0477129003245675,0.0021370050833554805,0,0,0
"Columbia, SC",0.33835030514440745,0.006436037633518643,5.7011952018580905,0.004678175230070609,0,0,0
"Crestview, FL",2.25648830794115,0.002365700789791786,0.6651245715642008,0.5423590012262969,1,0,0
"Dallas, TX",-1.0222676049696864,0.0030799730453249423,2.888344661142164,0.0446370706650089,0,1,0
"Danville, IL",-0.16354665158793713,1.2167479951210247e-4,0.17999745527079047,0.8659054369422017,1,0,0
"Davenport, IA",3.603659359591976,-0.0012890393661249674,-1.9662650097444605,0.12068483432134783,1,0,0
"Detroit, MI",1.6633099811628322,-0.0020962701952185344,-3.527509563303034,0.024285006497187393,1,0,0
"Durham, NC",-0.4961707009878195,0.005961195580547902,11.968336392491747,2.7929873481986244e-4,0,1,0
"Eau Claire, WI",3.424150144648486,0.003369205923991837,3.7176463407213314,0.020516607223365062,0,0,0
"El Paso, TX",4.340636615064807,0.00608593963730554,23.236809008007388,2.0328347473400434e-5,0,0,0
"Elizabethtown, KY",0.1285779125454433,0.0025493696858407905,4.016008003961641,0.01591702851376135,0,0,0
"Elkhart, IN",12.148020717611924,0.00903373570891733,12.051505061476593,2.7183776600614543e-4,0,0,0
"Erie, PA",1.7443928947484033,-2.4098308530344975e-4,-0.18512654814133064,0.8621375995041918,1,0,0
"Eugene, OR",4.82059181956752,0.008351410437565071,9.648712444166232,6.453525934370075e-4,0,0,0
"Evansville, IN",0.2579760835826257,-0.015749885874078176,-8.562601547438025,0.0010214937899728836,1,0,0
"Flint, MI",-0.23030993557239884,-8.448094013708374e-4,-1.9155859186462656,0.12792005290858655,1,0,0
"Florence, AL",1.582517523877868,-0.0026239236813902877,-2.176950476670216,0.0950680618247822,1,0,0
"Fond du Lac, WI",-0.23313606713311746,-0.0036901127456738098,-4.305673247179366,0.012589009023921825,1,0,0
"Fort Smith, AR",6.030247688612026,0.011856933490311186,27.253590616007937,1.0778748240521546e-5,0,0,0
"Fort Wayne, IN",-0.08211896365598836,-5.408361817374816e-4,-0.5512961690428992,0.6107767571632936,1,0,0
"Fresno, CA",0.801423356244757,0.002993744395652462,6.733594061693523,0.0025343171795875453,0,0,0
"Gainesville, FL",-3.7134632880640384,0.002869696298718609,3.141947353828367,0.03478245418297525,0,1,0
"Greeley, CO",1.418346826558689,0.0033781942073066117,4.5377027648835515,0.010515475037315385,0,0,0
"Green Bay, WI",6.894368393587781,0.0045363607052318535,4.797291009861406,0.008665277384349497,0,0,0
"Greensboro, NC",-2.318143676482524,0.003465644875827284,4.349485390421602,0.012161995276046295,0,1,0
"Greenville, SC",1.0531406854505907,-0.0053758610954161515,-6.155274207056453,0.003534771973051357,1,0,0
"Hagerstown, MD",1.9987682186744533,0.0032078795385457764,5.5015293354132195,0.005322785292059637,0,0,0
"Harrisburg, PA",0.8307698342535497,0.004390396153889681,9.09784876856345,8.094723391626909e-4,0,0,0
"Hartford, CT",2.190053392845084,0.0025914894297119915,5.036633710047697,0.007299329991517151,0,0,0
"Hinesville, GA",1.8967627674095995,0.004688812785909675,10.873613649022834,4.0602848336838824e-4,0,0,0
"Honolulu, HI",0.4524212503709111,-0.0019022094480349104,-2.87009615140241,0.045464204906713324,1,0,0
"Houston, TX",-1.9482795990788426,0.006379443589054873,11.180823961669537,3.6428683771353863e-4,0,1,0
"Huntington, WV",15.634383962961582,0.020005501847566498,17.93858934929252,5.676150055585892e-5,0,0,0
"Jackson, MI",0.2957655080962211,-0.0027299086568853565,-3.833593642497727,0.018560932367369307,1,0,0
"Jackson, MS",4.660801757924996,0.0032986644167860768,7.679872299087443,0.0015458736776132115,0,0,0
"Joplin, MO",1.238851176721313,0.001190458901372185,1.0327399675465638,0.3600739377156227,1,0,0
"Kankakee, IL",-0.21047691481987138,-3.950894436025628e-4,-0.47982624788907285,0.6564089538358948,1,0,0
"Kingsport, TN",1.4349216350390244,-0.0015721262539202068,-1.8587621521303745,0.13659607710624733,1,0,0
"Knoxville, TN",-1.2766961270405341,0.002289683455552823,5.88601098176045,0.0041648413662465624,0,1,0
"Lake Charles, LA",0.42484106908227,0.007967064510407757,10.204711958224797,5.195704919500792e-4,0,0,0
"Lancaster, PA",-1.757062159518643,0.0013222740809356941,4.960636178632363,0.007702620129833683,0,1,0
"Lansing, MI",1.507746920104367,0.0010946412429250693,2.886168982438804,0.044734760202819454,0,0,0
"Laredo, TX",0.21634540136957855,0.0013437223775252844,2.5885252290610192,0.06077832819860353,0,0,0
"Las Vegas, NV",-0.3777024444935947,0.001011691927307736,2.0179253367501957,0.11376636493679816,1,0,0
"Lewiston, ME",0.6652394397926602,0.005071097682529542,7.588723821417011,0.0016173418109603633,0,0,0
"Lexington, KY",0.6300156897192544,-1.0568771668272575e-5,-0.02947809020070359,0.9778954338143093,1,0,0
"Lincoln, NE",0.033093392408249565,0.0034580970106814356,4.876548622932569,0.008180942442283687,0,0,0
"Little Rock, AR",4.382849095440461,0.013258992416009871,11.605819709126049,3.14958135915127e-4,0,0,0
"Logan, UT",4.17324686405598,0.006767527909643905,9.770441441387929,6.148339060235568e-4,0,0,0
"Longview, TX",-0.25451637809577493,0.0015692411828358642,3.7152743187051787,0.02055912236702612,0,0,0
"Lubbock, TX",-0.12830185799996144,0.0036819324044942278,5.204122790816992,0.006497744664926611,0,0,0
"Madison, WI",4.780280153458334,0.011957811104394674,4.697113600974719,0.00932835514790261,0,0,0
"Manchester, NH",1.2673120876739792,0.002887537806971857,8.923261719003452,8.720521105385081e-4,0,0,0
"McAllen, TX",0.6200967934232499,0.005508433991013567,18.852201727123266,4.66229865923802e-5,0,0,0
"Midland, TX",0.8140687046771186,0.0048263558854513,10.852490508383955,4.0911181015024743e-4,0,0,0
"Missoula, MT",1.5152448632061137,5.61613990345909e-4,0.2818633536975436,0.7920299705481977,1,0,0
"Monroe, LA",2.2921285710741524,0.003058303578794718,8.978161501151973,8.51746617639178e-4,0,0,0
"Morgantown, WV",4.859449219330178,0.006921526660049197,3.778285427908943,0.019464600727991006,0,0,0
"Mount Vernon, WA",14.722976853367829,0.013058638769073712,29.81210804419567,7.539279337382731e-6,0,0,0
"Muncie, IN",20.678311820703154,0.015738365922761257,7.991781400730143,0.0013290823693265525,0,0,0
"Muskegon, MI",3.79779837742616,0.019650631127909525,11.980165490180843,2.7822215262171936e-4,0,0,0
"New Haven, CT",4.289637429529568,0.002647317682659798,1.505150530559472,0.20673811051433208,1,0,0
"New Orleans, LA",1.221235740299867,2.550452618678677e-4,0.4666299143266153,0.6650460268527463,1,0,0
"Niles, MI",0.15492024174722144,-0.003336807601813334,-4.419914050103542,0.011511661450774396,1,0,0
"Ocala, FL",1.8410092084509517,0.0294821383136077,6.64205556485426,0.0026668963298329394,0,0,0
"Ocean City, NJ",7.581947796503892,0.030189170758768796,3.8532937257424407,0.01825125608869303,0,0,0
"Odessa, TX",-1.4013907754422854,0.002463922265356459,5.799154500550832,0.004396995454020036,0,1,0
"Omaha, NE",0.8396577564146681,-0.002242950285831948,-1.3399703977806696,0.25131067117002476,1,0,0
"Oxnard, CA",1.6005648033803408,0.003165826111626942,22.95536734944293,2.1337311337369675e-5,0,0,0
"Palm Bay, FL",2.4481515187990928,0.015083861962459191,9.968464179347405,5.689176592312386e-4,0,0,0
"Panama City, FL",3.4561423243381344,0.011885481504467934,17.05698130772829,6.928768127582399e-5,0,0,0
"Pensacola, FL",-2.585211961522521,0.0052328447897679155,8.541475249208624,0.0010311961114434355,0,1,0
"Phoenix, AZ",0.3120572715308495,0.014701855486712585,9.722603663409288,6.266089982764523e-4,0,0,0
"Portland, ME",4.609954843979029,0.004561742920146733,1.7605792369489854,0.15311326875344802,1,0,0
"Poughkeepsie, NY",0.03642350879521313,-0.0011383136500069024,-2.2529495502851677,0.08735938310427013,1,0,0
"Provo, UT",2.155213399786799,0.0036135186870505016,8.337450821986941,0.001131029630753034,0,0,0
"Raleigh, NC",1.0275512640975428,2.960952941324057e-4,0.34351495219874373,0.7485072993149151,1,0,0
"Reading, PA",-0.1375382090803984,0.0027871856750156417,5.085539947682848,0.007053379464491976,0,0,0
"Riverside, CA",0.38974183782420074,0.003965105324670892,7.401428425064348,0.0017774704401894476,0,0,0
"Roanoke, VA",1.393053438211105,-5.790173693781432e-4,-1.8399904255337929,0.1395999882010339,1,0,0
"Rochester, NY",-0.1236532703307505,-0.005305468080981436,-3.475282711130733,0.025460942534652278,1,0,0
"Rockford, IL",2.0611869102398446,0.0017028804322884448,4.705405388428794,0.009271183233555302,0,0,0
"Salem, OR",3.1541931657530213,0.009293769163257833,11.105337782963,3.7402889752056334e-4,0,0,0
"Salt Lake City, UT",7.059162094586124,0.006438133612661942,6.481551383592509,0.0029206419860370015,0,0,0
"San Francisco, CA",-3.7063855823535627,0.003484400945104156,10.993345741785019,3.890868670894953e-4,0,1,0
"San Jose, CA",0.11113839923463602,0.0010144081568238075,2.8588040936258166,0.04598496386446715,0,0,0
"Santa Barbara, CA",1.1235670665056778,0.0015795263357661479,2.903368197067096,0.04396924479273921,0,0,0
"Savannah, GA",5.834781373986792,0.0042793736943093,2.980836491174396,0.04070517480221521,0,0,0
"Scranton, PA",1.4227432553704558,0.0016119693499159103,2.3841907636744617,0.07564376678614064,0,0,0
"Sebastian, FL",3.5871097938751255,0.011747015095439463,4.167306894572671,0.014061778311728383,0,0,0
"Shreveport, LA",-1.4881404398990532,0.002226738940417582,7.081663164230164,0.0020988198583098837,0,1,0
"Sioux City, IA",7.244468968702982,-0.005127261411765591,-0.7321131375998124,0.504685007211727,1,0,0
"Sioux Falls, SD",1.2766984127528032,-0.0037431318892124058,-1.8931164691090607,0.13127740449477296,1,0,0
"South Bend, IN",0.7454334762070621,-0.001822527253846779,-1.3350432829684147,0.2527772642880498,1,0,0
"Spokane, WA",2.009503384571044,0.0014942309000304103,1.291941859216421,0.2659673272809302,1,0,0
"Springfield, IL",4.3381082045022925,0.00406580042292958,5.897705568286318,0.00413474404417809,0,0,0
"Springfield, MA",0.11982282817773071,-0.001925575581061585,-1.7614588374441942,0.1529561712825671,1,0,0
"Stockton, CA",0.26668657619396463,0.0014532939951118595,3.3888788335167783,0.027558502506516442,0,0,0
"Syracuse, NY",0.4295828177116181,-0.0049428832571894125,-2.9336809954173426,0.04265691353214573,1,0,0
"Tampa, FL",-1.6166663805297283,0.01074531615618163,10.442938715019224,4.7508035663593184e-4,0,1,0
"Tulsa, OK",0.6228175705173316,0.0037178332796801144,3.115433129431367,0.03568381767870689,0,0,0
"Tuscaloosa, AL",1.1836179716142636,0.001110876608732819,1.074343907985646,0.34315707214022206,1,0,0
"Tyler, TX",1.5301484444390243,0.0037908751659684733,9.231677772916697,7.652392548468347e-4,0,0,0
"Victoria, TX",1.2340410054200435,0.0016416743483143703,5.611509633352352,0.004955159035570874,0,0,0
"Washington, DC",-5.683867301152308,0.001336900073623693,2.441885487609355,0.07106381567044344,0,1,0
"Wichita, KS",1.2839784826530878,5.723871569993171e-4,1.9779813369243047,0.11907635838366629,1,0,0
"Winchester, VA",-0.033366995420040256,7.171056468194027e-4,1.2900073020922878,0.2665747395017656,1,0,0
"York, PA",-0.19387678104748599,0.008269562043803488,9.277570674338175,7.507643241755482e-4,0,0,0
