zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1890,NA,NA,017,25,21382,6.345162548262548,6.029087644787645,3546.4735727445395,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22738,35,0.5064698343449818,0.4634345972670584,990,3771.383224070028,42.452752,-71.144319,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,12968.568780455482,12613.955417036555,12591.25701449718,NA
1901,NA,NA,009,25,1689,0.27415945945945946,0.2476138996138996,6821.103349341982,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",2135,469,0.3451229778480281,0.2992739974932272,459,8622.294642300256,42.460711,-70.946073,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,14981.30913877989,14560.298850150832,14729.852938340988,NA
1902,NA,NA,009,25,45139,2.4940258687258687,2.403045945945946,18784.076965382897,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",49641,1298,0.3525150931997964,0.30596382168868935,805,20657.53261345117,42.471039,-70.941535,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,16120.659108750837,15693.43447715042,15860.826454493828,NA
1906,NA,NA,009,25,26660,11.806734362934362,10.800521235521236,2468.399387273959,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",28222,42,0.3977982661032025,0.3556517534755778,1441,2613.022037045974,42.468432,-71.013946,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,13162.73856141094,12683.358454521736,12811.39586850233,NA
1907,NA,NA,009,25,14027,3.463808108108108,3.036380694980695,4619.644705022465,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",15278,187,0.43295030324855566,0.3947229422219888,537,5031.648378365525,42.474287,-70.905908,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,18284.240852976494,17886.310878852062,18061.881125427462,NA
1915,25.901954707765977,2.3392515113151244,009,25,39502,16.62141081081081,15.093179922779925,2617.2085804383864,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",41885,25,0.43809020097344503,0.4007018985194656,2369,2775.094460828865,42.570269,-70.866996,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,28681.68808962317,28241.077978374306,28402.6726868534,23.562703196450855
1923,NA,NA,009,25,26342,14.109376447876448,13.202533976833976,1995.2230417449696,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",27406,44,0.4109851645434476,0.3679749512434507,2033,2075.8136315413653,42.574174,-70.950516,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,25975.946363468993,25501.46877105445,25637.52082398946,NA
1930,NA,NA,009,25,28789,31.590664864864863,26.19591698841699,1098.9880603427468,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",30162,26,0.39955455101766024,0.3536935564074585,1540,1151.40080850526,42.61991,-70.681824,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,42748.50603573212,42363.79534822968,42541.69917208607,NA
1938,NA,NA,009,25,13175,35.810092664092664,30.431360231660232,432.9415412161882,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",13963,25,0.4309457985842849,0.3874064936267733,629,458.83588159405207,42.68386,-70.842664,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40683.96980986653,40221.090116661966,40369.043936809816,NA
1940,NA,NA,009,25,12108,11.208995366795367,10.548430115830117,1147.8485297854347,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",13474,213,0.4396204823015706,0.3963005044537974,679,1277.34647260728,42.534118,-71.038574,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,20018.848380560135,19537.23934603123,19634.758754066715,NA
1945,NA,NA,009,25,19808,7.689747876447877,4.386314671814672,4515.863881650148,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",20500,40,0.4407476799021335,0.3990664046870291,1017,4673.627300778879,42.501835,-70.859126,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,23161.47711263296,22771.36973131253,22948.446904948232,NA
1950,NA,NA,009,25,17416,10.65916447876448,8.348066409266409,2086.231606958484,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",18077,30,0.4288934122526573,0.3865308678221357,1391,2165.411619142657,42.812358,-70.891095000000007,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,52744.385211366694,52263.78685997567,52387.99842498677,NA
1951,NA,NA,009,25,3558,16.4011027027027,13.7653722007722,258.4746673105146,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3150,439,0.42411926665220695,0.3836378384449133,94,228.83507645534596,42.773351,-70.850211,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,49619.11617823664,49144.75013649808,49280.699952656934,NA
1960,NA,NA,009,25,50944,16.561284942084942,15.997102316602316,3184.5767434473837,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",52628,168,0.39681995681137494,0.3532206065542437,2735,3289.8458082237144,42.534202,-70.969734,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,21255.701828683035,20781.44986291861,20917.935224183188,NA
1970,20.27933564802355,7.137266228300672,009,25,41109,13.591002316602316,8.108971042471042,5069.570452858946,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",43033,158,0.4037864568331421,0.3634044512998267,2170,5306.838534089348,42.524435,-70.870859,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,24378.461716716625,23961.280640690165,24131.716138230437,13.14206941972288
2019,NA,NA,021,25,16332,18.89865675675676,18.348734749034747,890.0886204624633,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17108,29,0.4293907233015058,0.3808366917698935,674,932.3803648586714,42.076682,-71.47449,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,46198.572673289855,46575.897489629424,46397.12354506348,NA
2021,NA,NA,021,25,21561,19.612791505791503,18.796464864864863,1147.077397532486,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",23369,66,0.4487647395992335,0.408416047361211,1735,1243.2656974600743,42.175737,-71.125385,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,20687.064203632395,21167.412525240008,21043.38409350897,NA
2025,NA,NA,021,25,7542,10.85449227799228,9.789186486486486,770.4419576040744,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",8484,22,0.49325907142284536,0.44553291383052746,470,866.6705871536685,42.236423,-70.814436,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,24051.563104743556,24251.79444041199,24342.06275023995,NA
2026,NA,NA,021,25,24711,10.6448583011583,10.244120077220078,2412.213036720452,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",25265,57,0.4413729371319973,0.4052950987171669,1710,2466.2928401417275,42.246872,-71.179462,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,15603.65161133807,16022.15353355998,15853.373375380612,NA
2035,NA,NA,021,25,16865,20.849170656370656,19.847940926640927,849.7103081036951,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17727,28,0.44983304680160474,0.406083169429896,1104,893.140505885218,42.061338,-71.245802,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,36137.70534827847,36602.06594575005,36456.08180916297,NA
2038,NA,NA,021,25,31635,27.026859073359073,26.62600772200772,1188.1240451174397,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",33256,36,0.45256060485016875,0.4082821420194612,1527,1249.0043699834227,42.084858,-71.410571,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,41774.72623479037,42171.92377899943,41997.00011015958,NA
2043,NA,NA,023,25,22157,23.024306177606174,22.146807335907337,1000.4602317588297,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",23652,22,0.49271316856793507,0.446901595615414,1588,1067.964318344534,42.216098,-70.88127,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,21266.42824757183,21562.813927882497,21613.37745103632,NA
2045,NA,NA,023,25,10293,8.155208108108107,2.6580328185328184,3872.4126836332794,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10455,24,0.4271861858688547,0.38795796477708205,239,3933.360012375977,42.292253,-70.923919,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,13103.153927709249,13298.603430447054,13389.839954485213,NA
2050,NA,NA,023,25,25429,33.28630656370656,29.07803667953668,874.5088356634254,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",26222,285,0.414689653633468,0.374482660511383,905,901.780277980508,42.115139,-70.710331,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,39201.74305105434,39471.025687669855,39534.14072608653,NA
2062,NA,NA,021,25,28602,10.520477606177606,10.358319305019306,2761.258767736615,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",29306,31,0.4504528329534232,0.4116716763256468,2297,2829.223461551264,42.18736,-71.195955,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,21809.76995485389,22258.25849005201,22101.72888133174,NA
2066,NA,NA,023,25,17656,19.120485714285714,16.92351003861004,1043.2823899840414,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",18239,286,0.44964299267698526,0.4093651311730503,664,1077.7315083211902,42.202273,-70.758184,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,30021.85043295781,30230.382453291477,30317.76263412835,NA
2067,NA,NA,021,25,17486,23.626375675675675,22.672127027027027,771.2553823977458,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",18508,45,0.4897387720379239,0.45118757162874445,638,816.3327586307606,42.107782,-71.181771,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,29319.772998932127,29794.043741560512,29658.708717019366,NA
2072,NA,NA,021,25,26999,16.46699227799228,16.09275328185328,1677.7116710317655,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",28639,41,0.41282191506498894,0.3718972588212272,1693,1779.6208950953271,42.119006,-71.10365,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,26519.625728353352,27002.6486440502,26896.862047477167,NA
