MetroShort,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Albuquerque, NM",902666,928672,11753.96153,11738.8369,33175,76.89569312,79.11107444,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM,209278.2203,-106.65,35.085602
"Greensboro, NC",874876,918756,2653.624924,2614.839396,35624,334.5811606,351.362306,24660,"Greensboro-High Point, NC",Greensboro-High Point,NC,0.2749936,0.37066185,0.31997371,0.40691423,NC,160218.5839,-79.790604,36.071899
"Akron, OH",900018,903486,1281.268761,1255.736541,35583,716.7251813,719.4869071,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH,149619.6452,-81.518898,41.0811
"Baton Rouge, LA",865501,900787,4430.112435,4307.941427,32433,200.9082562,209.0991754,12940,"Baton Rouge, LA",Baton Rouge,LA,0.25683343,0.32415456,0.30453247,0.35679933,LA,191554.8018,-91.188202,30.452801
"Bakersfield, CA",843086,890464,6608.706251,6577.331715,22116,128.1805505,135.3837755,12540,"Bakersfield, CA",Bakersfield,CA,0.24432419,0.31218782,0.29072604,0.35714224,CA,232109.1072,-119.019,35.377701
"Columbia, SC",821713,875238,4630.542892,4483.216555,30693,183.2864841,195.2254568,17900,"Columbia, SC",Columbia,SC,0.3102341,0.39495081,0.36856678,0.44911692,SC,159157.5341,-81.0355,34.005798
"McAllen, TX",774680,855176,1474.977877,1462.99587,21612,529.5161907,584.5375353,32580,"McAllen-Edinburg-Mission, TX",McAllen-Edinburg-Mission,TX,0.25452441,0.2753647,0.29697475,0.30698913,TX,110865.1394,-98.2351,26.2008
"El Paso, TX",813672,850497,882.5824274,880.4384185,26135,924.1668501,965.9926033,21340,"El Paso, TX",El Paso,TX,0.29758063,0.34773588,0.34833768,0.38792619,TX,136687.6918,-106.487,31.760099
"Grand Rapids, MI",799143,843684,3355.312659,3237.402904,32208,246.8469399,260.6051903,24340,"Grand Rapids-Wyoming, MI",Grand Rapids-Wyoming,MI,0.26677683,0.3491981,0.29494813,0.37401992,MI,208422.3624,-85.669701,42.966202
"New Haven, CT",838178,833159,621.0014417,594.7465822,32442,1409.30276,1400.863872,75700,"New Haven, CT",New Haven,CT,0.30614942,0.37781811,0.37195748,0.44189078,CT,262119.1874,-72.925003,41.305099
"Little Rock, AR",792847,824858,5606.293542,5451.632984,33070,145.4329377,151.3047563,30780,"Little Rock-North Little Rock-Conway, AR",Little Rock-North Little Rock-Conway,AR,0.30751234,0.38509184,0.36560059,0.44196075,AR,154988.7587,-92.271202,34.7439
"Worcester, MA",796645,822431,1524.656756,1472.229376,28709,541.1147291,558.6296629,79600,"Worcester, MA-CT",Worcester,MA-CT,0.31928214,0.38053605,0.36986655,0.42283213,MA,311299.3877,-71.800301,42.263802
"Oxnard, CA",787571,812122,1275.893343,1199.298495,34841,656.6930614,677.1641953,37100,"Oxnard-Thousand Oaks-Ventura, CA",Oxnard-Thousand Oaks-Ventura,CA,0.31395799,0.41939071,0.36002243,0.45664853,CA,640607.5605,-119.179,34.1973
"Cape Coral, FL",675632,804701,1117.291305,892.947332,37712,756.6314112,901.1740907,15980,"Cape Coral-Fort Myers, FL",Cape Coral-Fort Myers,FL,0.23383056,0.29604116,0.28104809,0.34265724,FL,259467.8684,-81.952103,26.570601
"Charleston, SC",677976,788015,3217.342467,2934.436071,35181,231.0413257,268.5405239,16700,"Charleston-North Charleston, SC",Charleston-North Charleston,SC,0.28707051,0.36801305,0.33705798,0.40912122,SC,275783.8925,-79.9347,32.783298
"Durham, NC",663067,766642,2161.000953,2109.345146,31780,314.347323,363.4502402,20500,"Durham-Chapel Hill, NC",Durham-Chapel Hill,NC,0.41275987,0.52036542,0.45957696,0.57052588,NC,262627.8759,-78.899696,35.994999
"Lakeland, FL",653078,749342,2396.184496,2187.624721,21300,298.5329219,342.536813,29460,"Lakeland-Winter Haven, FL",Lakeland-Winter Haven,FL,0.26082939,0.3150284,0.31366169,0.36554962,FL,200695.6262,-81.955299,28.0481
"Colorado Springs, CO",657015,736812,3733.320384,3722.01633,33704,176.5212567,197.9604426,17820,"Colorado Springs, CO",Colorado Springs,CO,0.36108276,0.4663882,0.40308225,0.50151491,CO,334109.331,-104.825,38.832298
"Knoxville, TN",689520,730450,2233.630062,2146.718705,25844,321.1971826,340.2634906,28940,"Knoxville, TN",Knoxville,TN,0.29700688,0.38854551,0.34945592,0.42547292,TN,192125.3641,-83.919998,35.9646
"Boise City, ID",629930,724156,13028.57048,12955.14931,35238,48.62390891,55.89715584,14260,"Boise City, ID",Boise City,ID,0.31831571,0.3940745,0.36559424,0.43833736,ID,321520.683,-116.209,43.617199
"Springfield, MA",693392,700259,1916.425912,1855.453635,22138,373.7048379,377.4058197,78100,"Springfield, MA-CT",Springfield,MA-CT,0.30223149,0.35632816,0.35325184,0.40119877,MA,253702.485,-72.594101,42.103298
"Greenville, SC",606516,665430,2280.436054,2239.476712,28803,270.8293401,297.1363786,24860,"Greenville-Anderson-Mauldin, SC",Greenville-Anderson-Mauldin,SC,0.27526933,0.36425245,0.31149352,0.38449478,SC,186392.5105,-82.3974,34.849701
"Stockton, CA",614626,658716,1190.505873,1164.530368,17966,527.7887268,565.6494827,44700,"Stockton-Lodi, CA",Stockton-Lodi,CA,0.22769897,0.27840576,0.28545684,0.32741696,CA,390135.1029,-121.288,37.952999
