zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1748,NA,NA,017,25,14925,27.888745945945946,26.2613111969112,568.3265351105335,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17598,30,0.48588025480175223,0.4396035357374218,787,670.1112472278171,42.224104,-71.540484,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,42261.6644750918,42499.45322693689,42315.05846275043,NA
1749,NA,NA,017,25,19063,11.86549111969112,11.5217555984556,1654.522163493491,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19887,23,0.4394591733679706,0.39078450910668194,904,1726.0390424064972,42.389071,-71.545864,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40244.96835499293,40278.37429947995,40120.757136732944,NA
1752,NA,NA,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273808,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44190825537981543,0.3940056084353271,2785,1904.399747889119,42.349617,-71.547214,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40192.74152954493,40278.47907357181,40111.1245178992,NA
1754,NA,NA,017,25,10106,5.370381853281853,5.213210038610039,1938.5368947640736,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10754,29,0.4760759088362965,0.4386659992946707,410,2062.836509627236,42.425955,-71.456256,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,33629.20019301081,33594.51139555211,33452.142505613505,NA
1757,NA,NA,027,25,28061,15.154354054054052,14.879599227799227,1885.8706857893224,49340,"Worcester, MA-CT Metro Area","Worcester, MA",28883,35,0.43581618287067114,0.3916889293772308,1596,1941.1141091783256,42.158692,-71.521419,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,25800.00288322676,25827.637446504345,25886.27541117816,NA
1760,NA,NA,017,25,32786,15.814033976833976,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.4882511617157669,0.4499430592656589,2480,2414.56375670613,42.284822,-71.348811,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,25120.736916212853,25345.241938295618,25161.492768385197,NA
1778,NA,NA,017,25,13109,16.011227413127415,15.208050965250964,861.9776478887986,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14088,194,0.5160843581456459,0.475600719764874,614,926.3514458354866,42.343687,-71.381186,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,26560.45248627862,26663.399273122617,26493.05817405147,NA
1801,19.7802773554152,0.7510809905713826,017,25,38903,12.9638166023166,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.4379718751304532,0.39457297427848703,4071,3189.856658512117,42.488659,-71.154425,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,16840.09371248854,16456.95142005298,16451.62985700051,19.02919636484382
1803,NA,NA,017,25,24487,11.821033976833975,11.695616216216216,2093.690451816319,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",27650,67,0.4722053230777308,0.4282920917711933,2866,2364.1336624625815,42.503227,-71.201713,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,20266.136450409205,19925.026954725312,19895.234683763443,NA
1810,NA,NA,009,25,33201,32.17093822393822,30.848458301158303,1076.2612405415853,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35816,55,0.45705250869424663,0.40687890307798513,1915,1161.0304686978532,42.648044,-71.161751,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,33710.7889233656,33268.995837416005,33308.161940428014,NA
