city,iso,country,country2,gdp_capita,top_city,continent,new_city,population2,cbsa_code,gdp_capita_usa,population,final_sample
Myrtle Beach,USA,United States of America,United States,56565.35933847462,NA,English,Myrtle Beach,281180,34820,56565.35933847462,463987,0
Naples,USA,United States of America,United States,86919.59698442952,NA,English,Naples,19187,34940,86919.59698442952,371453,0
Nashville,USA,United States of America,United States,67676.61644195525,NA,English,Nashville,1098486,34980,67676.61644195525,1871903,1
New Orleans,USA,United States of America,United States,59270.21128229188,NA,English,New Orleans,925443,35380,59270.21128229188,1267777,1
New York,USA,United States of America,United States,82803.18619828166,1,English,New York,18972871,35620,82803.18619828166,19294236,1
Newark,USA,United States of America,United States,82803.18619828166,NA,English,Newark,306247,35620,82803.18619828166,19294236,1
Oakland,USA,United States of America,United States,105393.85021141834,NA,English,Oakland,437548,41860,105393.85021141834,4701332,1
Oklahoma City,USA,United States of America,United States,59707.03151863472,NA,English,Oklahoma City,994284,36420,59707.03151863472,1382841,1
Omaha,USA,United States of America,United States,66429.10362724686,NA,English,Omaha,806485,36540,66429.10362724686,931779,1
Ontario,USA,United States of America,United States,51508.54516142274,NA,English,Ontario,175223,40140,51508.54516142274,4560470,1
Orlando,USA,United States of America,United States,56986.9194792247,NA,English,Orlando,1927699,36740,56986.9194792247,2508970,1
Pasadena,USA,United States of America,United States,68510.19916370993,NA,English,Pasadena,151964,31080,68510.19916370993,13249614,1
Pensacola,USA,United States of America,United States,55956.86302671319,NA,English,Pensacola,360711,37860,55956.86302671319,488246,0
Peoria,USA,United States of America,United States,62137.20174178224,NA,English,Peoria,255718,37900,62137.20174178224,406883,0
Philadelphia,USA,United States of America,United States,74566.54960208779,NA,English,Philadelphia,5512873,37980,74566.54960208779,6079130,1
Phoenix,USA,United States of America,United States,62036.10360848019,NA,English,Phoenix,4047095,38060,62036.10360848019,4761603,1
Pittsburgh,USA,United States of America,United States,69067.19265284578,NA,English,Pittsburgh,1720279,38300,69067.19265284578,2331447,1
Plano,USA,United States of America,United States,67293.20654018708,NA,English,Plano,282181,19100,67293.20654018708,7320663,1
Portland,USA,United States of America,United States,73523.14056593261,NA,English,Portland,2036875,38900,73523.14056593261,2445761,1
Raleigh,USA,United States of America,United States,73191.23348679,NA,English,Raleigh,1062018,39580,73191.23348679,1332311,1
Riverside,USA,United States of America,United States,51508.54516142274,NA,English,Riverside,2022285,40140,51508.54516142274,4560470,1
Rochester,USA,United States of America,United States,63306.506566577715,NA,English,Rochester,737309,40380,63306.506566577715,1072877,1
Roseville,USA,United States of America,United States,67836.84744567926,NA,English,Roseville,145687,40900,67836.84744567926,2315980,1
Sacramento,USA,United States of America,United States,67836.84744567926,NA,English,Sacramento,1924167,40900,67836.84744567926,2315980,1
Saint Louis,USA,United States of America,United States,NA,NA,English,St. Louis,2092481,NA,NA,2092481,1
Saint Paul,USA,United States of America,United States,NA,NA,English,St. Paul,309751,NA,NA,309751,0
Saint Petersburg,USA,United States of America,United States,NA,NA,English,St. Petersburg,258245,NA,NA,258245,0
Salem,USA,United States of America,United States,90805.19882473681,NA,English,Salem,268634,14460,90805.19882473681,4832346,1
Salt Lake City,USA,United States of America,United States,62621.709776852476,NA,English,Salt Lake City,1135344,41620,62621.709776852476,1201043,1
San Diego,USA,United States of America,United States,72624.7024379087,NA,English,San Diego,3084174,41740,72624.7024379087,3316073,1
San Francisco,USA,United States of America,United States,105393.85021141834,NA,English,San Francisco,3290197,41860,105393.85021141834,4701332,1
San Jose,USA,United States of America,United States,105956.56623640149,NA,English,San Jose,1729879,41940,105956.56623640149,1987846,1
Sarasota,USA,United States of America,United States,71772.04459666305,NA,English,Sarasota,727388,35840,71772.04459666305,803709,1
Scottsdale,USA,United States of America,United States,62036.10360848019,NA,English,Scottsdale,238685,38060,62036.10360848019,4761603,1
Seattle,USA,United States of America,United States,87268.67167111397,NA,English,Seattle,3438221,42660,87268.67167111397,3871323,1
Spokane,USA,United States of America,United States,58753.27554408703,NA,English,Spokane,440270,44060,58753.27554408703,550160,1
Spring,USA,United States of America,United States,NA,NA,English,Spring,62569,NA,NA,62569,0
Springfield,USA,United States of America,United States,67913.14792364308,NA,English,Springfield,620494,44100,67913.14792364308,209167,0
Tacoma,USA,United States of America,United States,87268.67167111397,NA,English,Tacoma,217332,42660,87268.67167111397,3871323,1
Tampa,USA,United States of America,United States,61566.85566900272,NA,English,Tampa,2683956,45300,61566.85566900272,3097859,1
Troy,USA,United States of America,United States,65004.19220127261,NA,English,Troy,86912,19820,65004.19220127261,4317848,1
Tucson,USA,United States of America,United States,56666.457471776674,NA,English,Tucson,875284,46060,56666.457471776674,1027207,1
Tulsa,USA,United States of America,United States,58432.813536639005,NA,English,Tulsa,715983,46140,58432.813536639005,990544,1
Tyler,USA,United States of America,United States,54331.66284608392,NA,English,Tyler,143895,46340,54331.66284608392,227449,0
Virginia Beach,USA,United States of America,United States,NA,NA,English,Virginia Beach,1500764,NA,NA,1500764,1
Washington,USA,United States of America,United States,NA,NA,English,Washington,4810669,NA,NA,4810669,1
West Palm Beach,USA,United States of America,United States,62036.10360848019,NA,English,West Palm Beach,115877,33100,62036.10360848019,6090660,1
Wichita,USA,United States of America,United States,56107.55647069173,NA,English,Wichita,491916,48620,56107.55647069173,637690,1
